area,latitude,longitude
D010010000000,54.820334226591655,9.45329777091605
D010020000000,54.32481011191058,10.13240190451136
D010030000000,53.87249739382248,10.727549484010332
D010040000000,54.08112742577809,9.984472404567818
D010510011011,53.90523778653328,9.123021824969111
D010510044044,54.19316679847124,9.132351851321625
D010515163003,53.94317783267149,9.195759678988368
D010515163010,54.009442327596346,9.23777867069061
D010515163012,53.97942136626037,9.228745871593915
D010515163016,53.99507659008776,9.269739073310227
D010515163022,53.961670548066905,9.127880085852643
D010515163024,53.94927173311811,9.1417440596351
D010515163026,54.056643613553035,9.262042978455511
D010515163032,54.026690169985756,9.178095306045766
D010515163037,54.02802696902536,9.238153691527543
D010515163051,54.02248661865227,9.287184512238829
D010515163064,53.968834322273075,9.19702057872
D010515163089,54.00045739788521,9.18502557494993
D010515163097,53.99221364131013,9.1255907570872
D010515163110,54.054337796742736,9.208066804976745
D010515166021,53.94048038031718,9.027808985912685
D010515166034,54.006664105961924,8.896913382863346
D010515166046,53.974729634312325,9.016688460946352
D010515166057,53.93531891788611,8.933408145411878
D010515166062,53.97833437684011,8.970994781978488
D010515166072,53.95500072092565,9.015520109460185
D010515166073,53.94943107852573,8.988552489338199
D010515166076,53.922784598048125,9.02865110083729
D010515166077,53.90540878709841,8.981533609550373
D010515166090,53.94081628710559,9.084308014308672
D010515166103,53.92873955233952,9.041193633980608
D010515166118,54.00074156736064,9.017596077537691
D010515166119,53.9721656295598,9.071028521156373
D010515169005,54.22855200006244,9.18112208823559
D010515169008,54.31738925708868,9.211522679117872
D010515169019,54.242998461933794,9.388732820253518
D010515169020,54.31317859757722,9.25146805484133
D010515169023,54.25652450569918,9.319400797266667
D010515169030,54.28097267461701,9.117125732642904
D010515169035,54.19578142105339,9.217634486306943
D010515169036,54.270756702320895,9.226724039642468
D010515169038,54.315581500971724,8.99917602450422
D010515169047,54.27430904808743,9.00449003788395
D010515169049,54.2969322437479,9.176497366125922
D010515169052,54.2417211397454,9.289447949597593
D010515169053,54.29773678972079,9.221187821827037
D010515169058,54.29280703682393,8.953031088799515
D010515169060,54.31808756608782,9.131937981966756
D010515169061,54.31671101254492,9.038703009759866
D010515169065,54.35403745531274,9.01884133201386
D010515169068,54.2533863974165,9.196793258568851
D010515169071,54.329264952070865,9.041031260995968
D010515169080,54.24925441719655,9.135744390515097
D010515169088,54.26767251952128,9.290029128767276
D010515169092,54.29317322175786,9.0478817889222
D010515169096,54.34767304136013,9.08274033790213
D010515169100,54.243891225162024,9.247192925156297
D010515169102,54.312675370013984,9.095476422611084
D010515169114,54.220354487270086,9.277028551163312
D010515169117,54.27188649341829,9.37284519224447
D010515169120,54.28113585398728,9.26670071782437
D010515169125,54.200945971277704,9.246298672569107
D010515169131,54.218186889824246,9.24549852845598
D010515169133,54.26722563431092,9.120338608665396
D010515169136,54.215111803135144,9.400412261491594
D010515169139,54.21131726803213,9.339590786086978
D010515169141,54.240017459292034,9.150238691289292
D010515172048,54.149956828978766,9.094592767231383
D010515172067,54.15822850965204,9.06163972649773
D010515172069,54.182830497820014,9.067594769988514
D010515172075,54.2344702057437,9.004173202871328
D010515172081,54.19002166190224,9.009501036851175
D010515172082,54.164736594779946,9.180405102110495
D010515172087,54.21784385925439,9.131262948091488
D010515172107,54.25809743177591,9.060460656779473
D010515172113,54.16068070516202,9.009566015691263
D010515172122,54.23642300190095,9.090264918342132
D010515172130,54.21462721948344,9.06730083616954
D010515175001,54.135025864035555,9.280594051164886
D010515175002,54.16155052852741,9.253000542339963
D010515175004,54.09767854672239,9.160422876683732
D010515175006,54.01950091191489,9.044343477166807
D010515175015,54.1603776359,9.323598986849643
D010515175017,54.04142176934414,9.03583038272243
D010515175027,54.06759821445714,9.02444054324453
D010515175028,54.12105068746821,9.079837452373576
D010515175039,54.024850752818445,9.110410368511731
D010515175054,54.179534989859306,9.300685637316963
D010515175063,54.07573990621503,9.192522388890074
D010515175074,54.09767598820415,9.065121331166498
D010515175078,54.08546614196141,9.128360004455287
D010515175083,54.14276406436219,9.194307561483447
D010515175085,54.17150986014064,9.388092459894468
D010515175086,54.18985011744748,9.377276363744311
D010515175098,54.11995529634532,9.178318525435456
D010515175099,54.08260090657622,9.29170031036542
D010515175104,54.181271387525825,9.26642584262517
D010515175126,54.14208785667983,9.325918900229174
D010515175134,54.04311640809448,9.127139923666972
D010515175135,54.073095383722695,9.108693374850521
D010515175137,54.11864034351116,8.998793428365484
D010515175138,54.11248871513521,9.23932830490439
D010515178013,54.138880750426196,8.859480277879669
D010515178014,54.14083109725626,8.896200851792239
D010515178033,54.152595495588976,8.945304945125534
D010515178043,54.18128382631781,8.845033698757113
D010515178045,54.20235476200413,8.857428147855714
D010515178050,54.222703565281115,8.871570803301717
D010515178079,54.221757652107456,8.898162899907184
D010515178084,54.15898344890782,8.89968056846861
D010515178093,54.17740878421253,8.909556870591464
D010515178105,54.24490367380018,8.929561371068251
D010515178108,54.261120315308105,8.967719528407232
D010515178109,54.19877139387196,8.906209141377138
D010515178121,54.137401265769064,8.928841281161143
D010515178127,54.213428137588444,8.929651519631026
D010515178128,54.18157276463627,8.944304147603242
D010515178129,54.250300821018875,8.876636945820799
D010515178132,54.15682817368679,8.852266697298472
D010515178140,54.21176309841107,8.969272635014095
D010530032032,53.4315912611936,10.388720274730145
D010530083083,53.37642437236544,10.551948911556773
D010530090090,53.61841012359355,10.700404052081197
D010530100100,53.71298378841534,10.76163504599146
D010530116116,53.50160139346702,10.478101388294384
D010530129129,53.49517706919984,10.257120046091382
D010535308008,53.700600218218796,10.661480644907241
D010535308009,53.73615113187856,10.653646807022424
D010535308011,53.77159315620052,10.58417166470629
D010535308024,53.73342003277657,10.577952267321091
D010535308034,53.72119450593683,10.623441528891961
D010535308061,53.747223324813255,10.562004811213054
D010535308067,53.7677893356958,10.671183608416465
D010535308075,53.78477243063805,10.652044750429296
D010535308094,53.70433780073552,10.62223387373444
D010535308103,53.75335525051563,10.618800008308334
D010535308120,53.73179553047625,10.597719010339736
D010535313002,53.6207212405598,10.658451541881309
D010535313005,53.62035490300057,10.612349970026372
D010535313013,53.60910336419752,10.55265342971967
D010535313014,53.60090560718033,10.623955210508926
D010535313037,53.56693170636783,10.695083830014934
D010535313056,53.5546684204133,10.654048672669758
D010535313084,53.58628513077841,10.73817618785653
D010535313095,53.58647521125658,10.601730334048133
D010535313113,53.58899413770424,10.541916158345154
D010535313125,53.571458360740046,10.571600427203268
D010535313134,53.57420307263741,10.650975932824698
D010535318010,53.537302356668725,10.730777727344739
D010535318015,53.47375991325361,10.671219947442173
D010535318020,53.484325286360956,10.619894852503476
D010535318029,53.5062164581993,10.65176460974741
D010535318035,53.533256003273486,10.705989334376232
D010535318046,53.55284877065304,10.786175145480646
D010535318048,53.532548420432775,10.672763234481653
D010535318064,53.51156937213666,10.586743318893465
D010535318080,53.497504507170746,10.725328869884677
D010535318092,53.4963996923479,10.544523437107845
D010535318104,53.535796968234855,10.61495331014703
D010535318115,53.475154953806715,10.55051588780653
D010535318119,53.511314270936836,10.614139882540083
D010535318126,53.562956001668674,10.608808556769363
D010535318132,53.45759538316034,10.600782844126424
D010535323003,53.52548064449971,10.321765715361567
D010535323012,53.47626257850865,10.281874835420961
D010535323023,53.494561244175564,10.371423047590554
D010535323028,53.463046434870385,10.315013686379684
D010535323050,53.451049076736034,10.422436915548573
D010535323053,53.47203624284733,10.37293003490412
D010535323072,53.479752727891665,10.331887308917794
D010535323131,53.44081885091134,10.447908242536155
D010535323133,53.51296800574038,10.288535419350906
D010535323135,53.470152066446936,10.40943098385399
D010535343006,53.41891664748072,10.582871964295586
D010535343019,53.39177246737672,10.569354325095109
D010535343022,53.43331618863737,10.608512633060855
D010535343058,53.419804555022395,10.509588870624814
D010535343073,53.40652270791976,10.534466553037023
D010535343074,53.418131361676636,10.478429302232431
D010535343082,53.393263335814474,10.601533224446774
D010535343087,53.432114315857305,10.551913769978427
D010535343111,53.39149973426252,10.484347042426093
D010535343128,53.45323262254892,10.543364411663545
D010535358001,53.68086071974686,10.698452203682924
D010535358004,53.7253953246928,10.789684782391001
D010535358016,53.61247314330074,10.735272083096827
D010535358018,53.73148227366019,10.734530545954732
D010535358026,53.7195306974081,10.724157601822373
D010535358030,53.65852597158678,10.730711831058272
D010535358033,53.68851860611671,10.71559207886308
D010535358040,53.73658012234525,10.689625250905557
D010535358041,53.80794940786544,10.743539103579362
D010535358043,53.775696856545395,10.725347627461211
D010535358051,53.706991065377736,10.718014371455089
D010535358054,53.58907020333061,10.825090012944143
D010535358057,53.622567343929255,10.770319241652112
D010535358062,53.66523941018873,10.921527445990996
D010535358066,53.5798063788984,10.867558361871698
D010535358078,53.70834226438242,10.691287589876977
D010535358088,53.71593573433903,10.80537200734823
D010535358093,53.68537952191202,10.882500061958343
D010535358098,53.74086648909205,10.716780067127813
D010535358102,53.73023373505976,10.773561229529989
D010535358107,53.65283278773898,10.862028226394404
D010535358110,53.6602873409446,10.767984058915856
